integrantes,unidad,programa,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
GLORIA MARIA LOPEZ ARBOLEDA,ESCUELA DE POSGRADOS,DOCTORADO EN ESTUDIOS INTERDISCIPLINARIOS EN PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000786349,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2020-06-01, Actual,Doctorado,Investigador Asociado (I),BfjlQ8QAAAAJ,3,2,0,0,0,0,0
JORGE HERNAN GONZALEZ CORTES,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,2,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000110413,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,WPEpjKwAAAAJ,0,0,1,0,0,0,6
JUAN SEBASTIAN MARIN RODRIGUEZ,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001638637,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2020-06-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,0,0,0,0,0
LINA MARIA GALLEGO RAMIREZ,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001419926,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2020-06-01, Actual,Maestría/Magister,Investigador Senior (IS),mCT8CTsAAAAJ,3,0,0,0,0,0,0
LUCAS DAVILA CANAS,CENTRO REGIONAL APARTADO,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001487405,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2019-01-01, Actual,Maestría/Magister,Sin clasificar,R5D6vOoAAAAJ,2,4,1,0,0,0,0
LUISA FERNANDA CORREA PEREZ,ESCUELA DE POSGRADOS,ESPECIALIZACIÓN EN NEUROPSICOPEDAGOGÍA INFANTIL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000000418,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2019-07-01, Actual,Maestría/Magister,Sin clasificar,NA,0,3,1,0,0,0,1
MARIA VICTORIA RESTREPO TOBON,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000011235,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2019-01-01, Actual,Maestría/Magister,Sin clasificar,--wUpK0AAAAJ&hl,0,0,1,3,0,33,18
JULIANALEJANDRO GAVIRIA LOPEZ,Otro,Otro,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001078674,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2020-02-01, Actual,Doctorado,Sin clasificar,NA,0,0,0,0,0,0,0
MARICELLY GOMEZ VARGAS,Otro,Otro,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001142755,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2018-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),XNkEWKgAAAAJ,6,4,0,0,0,0,2
OLENA KLIMENKO KLIMENKO,Otro,Otro,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000757896,FARMACODEPENDENCIA Y OTRAS ADICCIONES,2018-02-01, Actual,Doctorado,Investigador Asociado (I),0r6pOxoAAAAJ,12,6,0,0,0,0,21
ANDRES ALFREDO CASTRILLON CASTRILLON,FACULTAD DE EDUCACIÓN Y HUMANIDADES,FILOSOFÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001010859,FILOSOFIA Y TEOLOGIA CRITICA,2013-02-01, Actual,Maestría/Magister,Sin clasificar,9OSinr4AAAAJ&hl,3,5,1,0,0,0,7
DAVID ESTEBAN ZULUAGA MESA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,FILOSOFÍA,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000904473,FILOSOFIA Y TEOLOGIA CRITICA,2006-02-01, Actual,Doctorado,Investigador Asociado (I),09VhuCYAAAAJ,1,10,5,3,0,0,11
DANIEL ESTEBAN QUIROZ OSPINA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,FILOSOFÍA,Integrante,3,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000075174,FILOSOFIA Y TEOLOGIA CRITICA,2018-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,1,0,0,0,0
JUAN SEBASTIAN HERNANDEZ VALENCIA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,TEOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001592411,FILOSOFIA Y TEOLOGIA CRITICA,2018-01-01, Actual,Maestría/Magister,Sin clasificar,YulZHwUAAAAJ,0,4,0,0,0,0,1
LINA MARCELA DE LA MILAGROSA CADAVID RAMIREZ,FACULTAD DE EDUCACIÓN Y HUMANIDADES,FILOSOFÍA,Integrante,11,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000883891,FILOSOFIA Y TEOLOGIA CRITICA,2010-06-01, Actual,Doctorado,Investigador Asociado (I),NA,0,13,1,2,0,0,24
MANUEL DAVID GOMEZ ERAZO,FACULTAD DE EDUCACIÓN Y HUMANIDADES,TEOLOGÍA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000070095,FILOSOFIA Y TEOLOGIA CRITICA,2018-01-01, Actual,Especialización,Sin clasificar,ZN11BuUAAAAJ,1,0,0,0,0,0,10
ANDRES ESCOBAR VASQUEZ,"FACULTAD DE COMUNICACIÓN, PUBLICIDAD Y DISEÑO",PUBLICIDAD,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001534028,FILOSOFIA Y TEOLOGIA CRITICA,2021-01-01, Actual,Maestría/Magister,Sin clasificar,HgkxSmsAAAAJ,1,2,0,0,0,0,0
JORMARIS MARTINEZ GOMEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045977,GORAS,2014-05-01, Actual,Doctorado,Investigador Senior (IS),3vFUn4wAAAAJ,7,4,0,0,1,24,20
LUIS FERNANDO QUINTERO ARANGO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001338621,GORAS,2015-07-01, Actual,Doctorado,Investigador Asociado (I),vu06sqwAAAAJ,5,12,5,1,1,25,3
ANA LUCILA POLO SALCEDO,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001660088,GORAS,2019-01-01, Actual,Especialización,Sin clasificar,NA,0,0,0,0,0,1,0
ANA MARIA CHAUX GUTIERREZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",GASTRONOMÍA,Integrante,18,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001372410,GORAS,2020-02-01, Actual,Doctorado,Investigador Junior (IJ),ZBh57LoAAAAJ,5,0,0,0,0,0,0
DANIEL MUNOZ QUINTERO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",GASTRONOMÍA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001660142,GORAS,2019-02-01, Actual,Técnico,Sin clasificar,Fp-EtWwAAAAJ,0,1,0,0,0,0,0
JAIME ALBERTO BELTRAN RIOS,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001434708,GORAS,2015-05-01, Actual,Maestría/Magister,Investigador Asociado (I),bjYfxdwAAAAJ,3,3,0,1,0,12,24
JAMES ALBERTO MARULANDA PATINO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,14,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001455988,GORAS,2016-01-01, Actual,Maestría/Magister,Investigador Asociado (I),NA,0,0,0,0,0,9,21
JORGE IVAN JIMENEZ SANCHEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000006821,GORAS,2016-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),FF97f1MAAAAJ,10,5,1,1,0,0,0
JOSE ANTONIO LOPEZ GIRALDO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000038887,GORAS,2015-02-01, Actual,Maestría/Magister,Investigador Asociado (I),jCYg-jsAAAAJ,4,4,0,1,0,12,24
MAURICIO ALEJANDRO BEDOYA JIMENEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001429266,GORAS,2016-01-01, Actual,Maestría/Magister,Sin clasificar,wDY8t8gAAAAJ,1,2,0,0,0,3,1
MONICA ELIANA ARISTIZABAL VELASQUEZ,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000324990,GORAS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,1,8,5
NESTOR EDUARDO FLOREZ OVIEDO,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,30,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001452620,GORAS,2018-01-01, Actual,Maestría/Magister,Sin clasificar,3oUj4vUAAAAJ,1,2,0,0,0,0,5
SANDRA MILENA MALAVERA PINEDA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,32,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001340431,GORAS,2017-02-01, Actual,Maestría/Magister,Sin clasificar,qvBehKYAAAAJ,1,1,3,0,1,2,3
SEBASTIAN ARIAS GIRALDO,CENTRO REGIONAL MANIZALES,NEGOCIOS INTERNACIONALES,Integrante,25,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000014056,GORAS,2018-01-01, Actual,Maestría/Magister,Investigador Junior (IJ),V3rISaoAAAAJ,3,5,3,0,0,0,0
SINDY YULIANA GALLEGO TAVERA,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000100101,GORAS,2017-01-01, Actual,CvLAC oculto,CvLAC oculto,YNwDcOcAAAAJ,2,0,0,0,0,4,0
SUGEY ELENA ANAYA GARCIA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",GASTRONOMÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000154141,GORAS,2017-01-01, Actual,Maestría/Magister,Sin clasificar,qPSF-CgAAAAJ,0,2,0,0,0,0,0
UBEIMAR AURELIO OSORIO ATEHORTUA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,33,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001370943,GORAS,2017-06-01, Actual,Maestría/Magister,Investigador Asociado (I),MTw3GSYAAAAJ,1,1,0,0,1,11,4
VICTOR HUGO MERINO CORDOBA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001635812,GORAS,2015-01-01, Actual,Doctorado,Investigador Senior (IS),dsuvvNEAAAAJ,2,8,1,0,0,0,0
FREDY DE JESUS FERNANDEZ MARQUEZ,DEPARTAMENTO DE IDENTIDAD AMIGONIANA Y FORMACION SOCIOHUMANISTICA,DERECHO,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001312642,GORAS,2019-07-01, Actual,Doctorado,Investigador Junior (IJ),1aXOG-MAAAAJ,1,0,0,0,0,0,2
JUAN SANTIAGO CALLE PIEDRAHITA,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001169017,GORAS,2019-01-01, Actual,Doctorado,Sin clasificar,sXijM8EAAAAJ,4,7,14,0,0,0,71
JUAN CAMILO GUILLEN BETANCUR,Otro,Otro,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001866333,GORAS,2021-02-01, Actual,Especialización,Sin clasificar,NA,0,0,0,0,0,0,0
YAMARU DEL VALLE CHIRINOS ARAQUE,"FACULTAD DE CIENCIAS ADMINISTRATIVAS, ECONOMICAS Y CONTABLES",ADMINISTRACIÓN DE EMPRESAS,Integrante,0; 20; 0; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045844,GORAS; ECOSOL,2015-01-01; 2016-01-01, Actual,Doctorado,Investigador Senior (IS),NzpSyf0AAAAJ,6,6; 2,3; 0,0; 0,0; 0,3; 1,0; 0
ELVIGIA CARDONA ZULETA,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001461785,JURIDICAS Y SOCIALES,2019-08-01, Actual,Maestría/Magister,Sin clasificar,SteXGqYAAAAJ,3,1,2,0,0,0,19
DANY STEVEN GOMEZ AGUDELO,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000107135,JURIDICAS Y SOCIALES,2019-01-01, Actual,Maestría/Magister,Sin clasificar,YaysRIIAAAAJ,2,2,3,0,0,0,5
DAVID ANDRES DIEZ GOMEZ,CENTRO REGIONAL MANIZALES,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000687235,JURIDICAS Y SOCIALES,2020-02-01, Actual,Doctorado,Investigador Junior (IJ),BQTiYNcAAAAJ,5,0,0,0,0,0,2
JORGE IVAN GAVIRIA MESA,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000009881,JURIDICAS Y SOCIALES,2013-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),mh-AeYwAAAAJ,3,5,3,0,0,0,11
LAURA VICTORIA CARDENAS ROJAS,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001550884,JURIDICAS Y SOCIALES,2018-07-01, Actual,Maestría/Magister,Sin clasificar,VlC916UAAAAJ,1,0,0,0,0,0,58
MARIA ISABEL URIBE LOPEZ,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001632464,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,QbjM9m0AAAAJ,2,0,1,0,0,0,1
MAURICIO MEJIA LOBO,CENTRO REGIONAL MANIZALES,DERECHO,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000621641,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,RCtbsjMAAAAJ,1,0,1,0,1,0,4
PAOLA ANDREA CARMONA TORO,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001469181,JURIDICAS Y SOCIALES,2019-08-01, Actual,Doctorado,Sin clasificar,NA,0,0,2,0,0,0,2
ROBERTO MAURICIO ROMERO CARDENAS,CENTRO REGIONAL MANIZALES,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000080033,JURIDICAS Y SOCIALES,2017-09-01, Actual,Maestría/Magister,Sin clasificar,YdeOxzsAAAAJ,0,1,0,0,0,0,10
JENNIFFER LONDONO JURADO,CENTRO REGIONAL MANIZALES,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000023226,JURIDICAS Y SOCIALES,2020-02-01, Actual,Maestría/Magister,Sin clasificar,XFBxR6kAAAAJ,1,1,0,0,0,0,9
JORGE EDUARDO VASQUEZ SANTAMARIA,FACULTAD DE DERECHO Y CIENCIAS POLITICAS,DERECHO,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001228234,JURIDICAS Y SOCIALES,2019-01-01, Actual,Maestría/Magister,Investigador Asociado (I),v8GT-VAAAAAJ,7,28,17,3,0,0,24
JUAN ESTEBAN AGUIRRE ESPINOSA,Otro,Otro,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001436904,JURIDICAS Y SOCIALES,2018-05-01, Actual,Maestría/Magister,Investigador Asociado (I),9QD3rjkAAAAJ,2,1,2,0,0,0,0
MAYDA SORAYA MARIN GALEANO,Otro,Otro,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001373816,JURIDICAS Y SOCIALES,2019-09-01, Actual,Doctorado,Investigador Junior (IJ),1x5m4ywAAAAJ,5,1,0,0,0,0,6
NATALIA ANDREA ALZATE ALZATE,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,10; 10; 10; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000964875,JURIDICAS Y SOCIALES; LUES,2019-08-01; 2020-01-01, Actual,Doctorado,Sin clasificar,sAljacYAAAAJ,1,1; 0,0; 0,0; 0,0; 0,0; 0,0; 0
JENNY MARCELA ACEVEDO VALENCIA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,10; 20; 10; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001186337,JURIDICAS Y SOCIALES; LUES,2019-08-01; 2014-11-01, Actual,Maestría/Magister,Sin clasificar,ul0fN9wAAAAJ,4,1; 8,1; 4,0; 3,0; 0,0; 0,4; 36
ALFREDO MANUEL GHISO COTOS,Otro,Otro,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000020192,LUES,1999-01-01, Actual,CvLAC oculto,CvLAC oculto,Cj2hqc4AAAAJ,3,33,32,12,0,0,5
ANGELA MARIA VELASQUEZ VELASQUEZ,Otro,Otro,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000117510,LUES,2017-01-01, Actual,Doctorado,Investigador Junior (IJ),BbHGEOcAAAAJ,3,0,1,0,0,0,22
OLBER EDUARDO ARANGO TOBON,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000412228,NEUROCIENCIAS BASICAS Y APLICADAS,2010-02-01, Actual,Doctorado,Investigador Asociado (I),nIWo18gAAAAJ,9,12,2,1,0,0,36
JULIO ANTONIO OLIVERA LA ROSA,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001578351,NEUROCIENCIAS BASICAS Y APLICADAS,2014-07-01, Actual,Doctorado,Investigador Senior (IS),p1jzZwMAAAAJ,10,14,0,0,0,0,9
CATALINA QUINTERO LOPEZ,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000921602,NEUROCIENCIAS BASICAS Y APLICADAS,2019-07-01, Actual,Maestría/Magister,Sin clasificar,jp1wLg4AAAAJ,1,13,3,0,1,1,2
CESAR ANDRES CARMONA CARDONA,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000021118,NEUROCIENCIAS BASICAS Y APLICADAS,2019-07-01, Actual,Pregrado/Universitario,Sin clasificar,LN9Fg-8AAAAJ,0,1,0,0,0,0,0
CLAUDIA MARCELA ARANA MEDINA,FACULTAD DE EDUCACIÓN Y HUMANIDADES,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001360885,NEUROCIENCIAS BASICAS Y APLICADAS,2010-02-01, Actual,Doctorado,Investigador Asociado (I),bEplYn8AAAAJ,7,9,7,0,0,4,20
DANIEL ALFREDO LANDINEZ MARTINEZ,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001572030,NEUROCIENCIAS BASICAS Y APLICADAS,2017-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),HWzOMPwAAAAJ,4,8,0,0,1,0,11
JHON FELIPE ARIAS VALENCIA,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001413627,NEUROCIENCIAS BASICAS Y APLICADAS,2021-07-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,0,0,0
JUAN DIEGO BETANCUR ARIAS,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,0,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000988928,NEUROCIENCIAS BASICAS Y APLICADAS,2015-02-01, Actual,Doctorado,Investigador Senior (IS),Rb881xwAAAAJ,4,6,2,1,0,42,30
OMAR AUGUSTO AMADOR SANCHEZ,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001338634,NEUROCIENCIAS BASICAS Y APLICADAS,2019-08-01, Actual,Maestría/Magister,Sin clasificar,2EdSYP0AAAAJ,4,2,0,0,0,1,0
PAULA ANDREA MONTOYA ZULUAGA,FACULTAD DE PSICOLOGIA Y CIENCIAS SOCIALES,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000470872,NEUROCIENCIAS BASICAS Y APLICADAS,2010-02-01, Actual,Doctorado,Investigador Junior (IJ),_SE2G3UAAAAJ,4,7,8,0,0,0,23
GABRIEL DAVID PINILLA MONSALVE,Otro,Otro,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001405663,NEUROCIENCIAS BASICAS Y APLICADAS,2017-03-01, Actual,Especialización,Investigador Junior (IJ),fG4eYhYAAAAJ,10,9,0,0,0,0,0
ISABEL CRISTINA PUERTA LOPERA,Otro,Otro,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000045683,NEUROCIENCIAS BASICAS Y APLICADAS,2011-03-01, Actual,Doctorado,Investigador Senior (IS),I7x7Oo8AAAAJ,10,16,0,0,0,4,3
ANYERSON STITHS GOMEZ TABARES,CENTRO REGIONAL MANIZALES,PSICOLOGÍA,Integrante,5; 20; 5; 20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001583946,NEUROCIENCIAS BASICAS Y APLICADAS; ESTUDIOS DE FENOMENOS PSICOSOCIALES,2020-09-01; 2015-07-01, Actual,Maestría/Magister,Sin clasificar,504O9wUAAAAJ,10,1; 16,0; 4,0; 1,0; 0,0; 0,0; 20
YAMILE CARDONA MAYA,DEPARTAMENTO DE CIENCIAS BASICAS,CONTADURÍA PÚBLICA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001376475,SISCO,2018-01-01, Actual,Doctorado,Investigador Junior (IJ),Y2p7DZwAAAAJ,4,4,0,0,0,0,0
MARIA JULIA NIETO CALLEJAS,FACULTAD DE INGENIERÍAS Y ARQUITECTURA,INGENIERÍA CIVIL,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000005825,SISCO,2018-08-01, Actual,Maestría/Magister,Sin clasificar,XuxhAV0AAAAJ,1,0,0,0,0,0,1
MAURICIO LOPEZ BONILLA,DEPARTAMENTO DE CIENCIAS BASICAS,PSICOLOGÍA,Integrante,6,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001381737,SISCO,2011-06-01, Actual,Maestría/Magister,Sin clasificar,lQqAfmwAAAAJ,4,5,0,1,4,0,1
